epoch,target_epochs,seconds,categorical_accuracy,loss,val_categorical_accuracy,val_loss
307.0,3000.0,110.0,0.7706,0.6037,0.7741,0.5951
308.0,3000.0,111.0,0.7704,0.6064,0.7822,0.5783
309.0,3000.0,109.0,0.7674,0.616,0.7598,0.6429
310.0,3000.0,109.0,0.7725,0.5991,0.7786,0.5832
311.0,3000.0,109.0,0.7694,0.6079,0.7676,0.6122
312.0,3000.0,114.0,0.7708,0.6035,0.7655,0.6142
313.0,3000.0,108.0,0.7733,0.5964,0.7771,0.6022
314.0,3000.0,110.0,0.7708,0.6039,0.7759,0.5871
315.0,3000.0,115.0,0.7717,0.6022,0.7757,0.5895
316.0,3000.0,112.0,0.7723,0.5985,0.7549,0.6455
317.0,3000.0,112.0,0.7738,0.5954,0.7648,0.6162
318.0,3000.0,112.0,0.7712,0.6019,0.779,0.5881
319.0,3000.0,111.0,0.7738,0.5945,0.7737,0.592
320.0,3000.0,110.0,0.7737,0.5952,0.7741,0.6025
321.0,3000.0,108.0,0.7691,0.6084,0.7773,0.5916
322.0,3000.0,110.0,0.7714,0.6022,0.7767,0.5815
323.0,3000.0,109.0,0.7705,0.6042,0.7798,0.5816
324.0,3000.0,109.0,0.7721,0.6,0.7619,0.6276
325.0,3000.0,108.0,0.7762,0.5872,0.7807,0.5738
326.0,3000.0,111.0,0.7687,0.6088,0.7754,0.5888
327.0,3000.0,108.0,0.7731,0.5958,0.775,0.5907
328.0,3000.0,109.0,0.7702,0.6047,0.766,0.6151
329.0,3000.0,109.0,0.7732,0.5955,0.7703,0.6136
330.0,3000.0,109.0,0.7712,0.6025,0.7665,0.6172
331.0,3000.0,109.0,0.7726,0.5978,0.7692,0.6028
332.0,3000.0,108.0,0.7737,0.5933,0.7595,0.6325
333.0,3000.0,109.0,0.7748,0.5897,0.7725,0.5974
334.0,3000.0,108.0,0.7761,0.5866,0.7811,0.574
335.0,3000.0,110.0,0.7771,0.5839,0.7719,0.6037
336.0,3000.0,109.0,0.7764,0.5856,0.7771,0.5844
337.0,3000.0,108.0,0.7736,0.5937,0.7753,0.5888
338.0,3000.0,111.0,0.7769,0.5825,0.7776,0.5838
339.0,3000.0,110.0,0.7756,0.5878,0.7865,0.5565
340.0,3000.0,110.0,0.7759,0.588,0.7805,0.577
341.0,3000.0,108.0,0.776,0.5869,0.7745,0.5906
342.0,3000.0,109.0,0.7771,0.5824,0.7807,0.5717
343.0,3000.0,108.0,0.7768,0.5842,0.7715,0.6075
344.0,3000.0,109.0,0.7733,0.5944,0.7672,0.6065
345.0,3000.0,108.0,0.7776,0.5813,0.7846,0.565
346.0,3000.0,108.0,0.7743,0.5905,0.7774,0.5876
347.0,3000.0,110.0,0.7727,0.5975,0.7711,0.6047
348.0,3000.0,109.0,0.7757,0.5886,0.7716,0.6026
349.0,3000.0,108.0,0.7721,0.5979,0.7764,0.5862
350.0,3000.0,116.0,0.7782,0.5803,0.7747,0.6012
351.0,3000.0,110.0,0.7754,0.588,0.7625,0.6158
352.0,3000.0,110.0,0.7756,0.5867,0.7776,0.5863
353.0,3000.0,112.0,0.7796,0.5751,0.7722,0.6004
354.0,3000.0,111.0,0.7778,0.5809,0.7758,0.5863
355.0,3000.0,110.0,0.7786,0.5774,0.7346,0.689
356.0,3000.0,117.0,0.774,0.5915,0.7805,0.586
357.0,3000.0,109.0,0.7761,0.5853,0.7788,0.5784
358.0,3000.0,109.0,0.7749,0.5879,0.7813,0.5825
359.0,3000.0,110.0,0.7715,0.5999,0.7805,0.5747
360.0,3000.0,109.0,0.782,0.5678,0.7691,0.6015
361.0,3000.0,109.0,0.7763,0.5848,0.783,0.5642
362.0,3000.0,109.0,0.778,0.5804,0.789,0.5534
